SDPA-GMP start at Mon May 26 13:39:28 2025
data      is input_sdpa.dat
parameter is ./param.sdpa
out       is output_sdpa2.dat
DENSE computation
   mu      thetaP  thetaD  objP      objD      alphaP  alphaD  beta 
174 8.4e-85 4.8e-100 1.1e-57 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
175 2.5e-85 2.3e-100 2.4e-57 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
176 7.6e-86 1.4e-100 9.1e-57 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
177 2.3e-86 3.4e-100 2.1e-57 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01

phase.value = noINFO    
   Iteration = 177
          mu = 2.2657470709300642e-86
relative gap = 4.2154905705603687e-53
         gap = 1.4274206546859405e-84
      digits = 3.5475627530896560e+01
objValPrimal = 1.2603049821434877e-17
objValDual   = 1.2603049821434877e-17
p.feas.error = 3.3874118739970814e-96
d.feas.error = 4.2155718679911112e-53
relative eps = 8.6361685550944446e-78
total time   = 0.690


Parameters are
** Parameters **
maxIteration =    1000
epsilonStar  = 1.000e-100
lambdaStar   = 1.000e+04
omegaStar    = 2.000e+00
lowerBound   = -1.000e+05
upperBound   = 1.000e+05
betaStar     = 1.000e-01
betaBar      = 3.000e-01
gammaStar    = 9.000e-01
epsilonDash  = 1.000e-100
precision    =    200
xPrint       = %+50.40Fe 
XPrint       = %+50.40Fe 
YPrint       = %+50.40Fe 
infPrint     = %+50.40Fe 

                         Time(sec)  Ratio(% : MainLoop) 
 Predictor time  =       0.580000,  85.294118
 Corrector time  =       0.040000,  5.882353
 Make bMat time  =       0.240000,  35.294118
 Make bDia time  =       0.010000,  1.470588
 Make bF1  time  =       0.220000,  32.352941
 Make bF2  time  =       0.000000,  0.000000
 Make bF3  time  =       0.000000,  0.000000
 Make bPRE time  =       0.050000,  7.352941
 Make rMat time  =       0.010000,  1.470588
 Make gVec Mul   =       0.010000,  1.470588
 Make gVec time  =       0.010000,  1.470588
 Cholesky bMat   =       0.300000,  44.117647
 Ste Pre time    =       0.000000,  0.000000
 Ste Cor time    =       0.040000,  5.882353
